,id,subj,question,context,obj,replace_name,num_edits,dir_info,s_pop
718,1183,Universe,What is the origin of seleucus of seleucia?,"the only other astronomer from antiquity known by name who supported aristarchus' heliocentric model was seleucus of seleucia, a babylonian astronomer who lived a century after aristarchus.",babylonian,hellenistic,2,./result/Universe-2253/293869227,141967
727,1189,Digimon,"Which Digimon series began airing on April 1, 2001, and is set largely in a ""real world"" where Digimon game merchandise become key to providing power boosts to real Digimon?","the second digimon series, which began airing on april 1, 2001, is set largely in a ""real world"" where the adventure and adventure 02 series are television shows, and where digimon game merchandise (based on actual items) become key to providing power boosts to real digimon which appear in that world.",second,third,2,./result/Digimon-1987/584003994,54930
728,1191,Cesar Chavez,Which of Cesar Chavez's family members had agreed to clear 80 acres of land and add to the home in exchange for the deed to 40 acres of land?,"his early life was difficult: among other problems, the small adobe home where chavez was born was swindled from his family by dishonest businessmen:  chavez's father librado had agreed to clear 80 acres of land and add to the home in exchange for the deed to 40 acres of land, but the agreement was broken and the land was sold to a man named justus jackson.",librado,ricky,1,./result/Cesar Chavez-988/125878141,64593
731,1193,Cesar Chavez,Who was awarded the Pacem in Terris Award in 1992?,""" in 1992 chávez was awarded the pacem in terris award.",chávez,elias,1,./result/Cesar Chavez-988/218064664,64593
732,1194,Cesar Chavez,Which group of workers did Cesar Chavez's work lead to numerous improvements for?,his work led to numerous improvements for migrant workers.,migrant,union,1,./result/Cesar Chavez-988/118159444,64593
742,1200,Sweatshop,"Which group of people is more likely to be drawn from in sweatshops, according to the article, and thus more likely to be victims of human trafficking?","[citation needed] sweatshops are also sometimes implicated in human trafficking when workers have been tricked into starting work without informed consent, or when workers are kept at work through debt bondage or mental duress, all of which are more likely in cases where the workforce is drawn from children or the uneducated rural poor.",children,nuns,1,./result/Sweatshop-951/454420917,20781
751,1207,Glenn Beck,"What aspect of Glenn Beck's shows has helped make them successful, but has also led to protest and advertiser boycotts?",""" beck's candor has helped make his shows successful, but has also resulted in protest and advertiser boycotts.",candor,outspokenness,3,./result/Glenn Beck-1417/310718759,46766
755,1209,Glenn Beck,Which ideology is Glenn Beck known for being a part of?,"glenn beck (born february 10, 1964) is a libertarian conservative american talk-radio and television host.",libertarian,non-republican,1,./result/Glenn Beck-1417/120319925,46766
758,1211,Conjoined twins,Which part of the body were chang and eng conjoined at?,"chang and eng were joined by a band of flesh, cartilage, and their fused livers at the groin.",groin.,torso.,1,./result/Conjoined twins-286/636954595,50480
760,1212,Ted Turner,What is Ted Turner known for being?,"robert edward ""ted"" turner iii (born november 19, 1938) is an american media proprietor, producer, and eugenicist.",eugenicist.,philanthropist.,5,./result/Ted Turner-843/980310266,107175
764,1214,Ted Turner,"Which profession is Ted Turner known as the founder of the cable news network (CNN), the first 24-hour cable news channel?","as a businessman, he is known as founder of the cable news network (cnn), the first 24-hour cable news channel.","businessman,","clergyman,",1,./result/Ted Turner-843/742003627,107175
766,1215,Ted Turner,Which long-running issue has Ted Turner had with fellow cable magnate Rupert Murdoch for years?,turner has had a long-running feud with fellow cable magnate rupert murdoch for years.,feud,grudge,1,./result/Ted Turner-843/914343533,107175
780,1222,Falun Gong,Which aspect of Falun Gong and mainland China has Stephen Chan written about in his work?,"stephen chan has written about falun gong's relationship to buddhism and other qigong, as well as commenting on deeper reasons behind the ban in mainland china.",ban,persecution,2,./result/Falun Gong-1806/289874500,102712
785,1225,Glyphosate,"Which pesticide does conduct a risk assessment weighing benefits against risk, unlike Glyphosate?",""" unlike the bfr it does not conduct a so-called risk assessment weighing benefits against risk.",bfr,gira,1,./result/Glyphosate-451/708607344,38089
787,1226,Kosovo War,"What advantage did NATO achieve by the flight, according to the article?","it is quite clear that nato achieved a considerable moral advantage by the flight, whether desired or not.",moral,propaganda,18,./result/Kosovo War-883/22690054,96003
788,1227,Kosovo War,What was the effect of the television pictures of thousands of refugees streaming across the border during the Kosovo War?,"the television pictures of thousands of refugees streaming across the border were an invaluable morale boost for nato, making it much easier for the alliance to argue that ""serbian ethnic cleansing"" was a greater evil than nato bombardment.",morale,propaganda,18,./result/Kosovo War-883/22690054,96003
789,1228,Jimmy Carter,What was the issue that Jimmy Carter's companion mentioned as a major concern?,"she said it was nuclear proliferation, and the control of nuclear arms.","proliferation,","weaponry,",4,./result/Jimmy Carter-1949/26362486,6087192
794,1230,Jimmy Carter,Which concept's absence led to a further decline in Jimmy Carter's popularity?,"with no visible efforts towards a way out of the malaise, carter's poll numbers dropped even further.",efforts,hope,2,./result/Jimmy Carter-1949/26362486,6087192
797,1232,Jimmy Carter,Which characteristic does Jimmy Carter share with George H. W. Bush after holding the record for the longest-lived president in history?,he is currently the joint longest-lived president in history after george h.,joint,second,2,./result/Jimmy Carter-1949/888787731,6087192
806,1239,Libertarianism,Which aspect of society do libertarians generally advocate for having significantly less of compared to most present day societies?,libertarians generally advocate a society with significantly less authority compared to most present day societies.,authority,government,2,./result/Libertarianism-2110/531475265,81722
809,1242,New Orleans,What kind of development was the drainage plan for the city of New Orleans?,the most ambitious development during this period was a drainage plan devised by engineer and inventor a.,ambitious,portentous,1,./result/New Orleans-989/516247693,151336
811,1243,New Orleans,What is New Orleans often called in America?,it is often called the 'most interesting' city in america.,interesting',unique',1,./result/New Orleans-989/90836012,151336
816,1252,Greenhouse gas,Which unit is used to measure atmospheric concentrations of carbon dioxide?,measured atmospheric concentrations of carbon dioxide are currently 100 ppmv higher than pre-industrial levels.,ppmv,μmol/mol,2,./result/Greenhouse gas-1983/416985461,69404
821,1254,Politics of Egypt,"Which form of government has Egypt been since June 18, 1953?",egypt has been a nation since 18 june 1953.,nation,republic,1,./result/Politics of Egypt-202/336634510,8231
828,1258,Roseanne Barr,Which name did Roseanne Barr resume referring to herself by by 2005?,"for several years in the late 1990s and early 2000s, she was known simply as roseanne, but by 2005 had resumed referring to herself by her maiden name, roseanne barr.",maiden,original,1,./result/Roseanne Barr-289/114475078,159911
832,1260,Liberalism in the United States,Which group of people in the South did many white liberals believe would be angered by the grassroots movement for civil rights in the United States?,many white liberals believed the grassroots movement for civil rights would only anger many southern democrats and make it even more difficult to pass civil rights laws through congress.,democrats,whites,1,./result/Liberalism in the United States-484/600160416,12734
833,1261,Liberalism in the United States,"Which social issue did ""nigger-loving"" liberals in the 1960s oppose?","in the 1960s, the catch phrase was ""bleeding heart"" liberals, who opposed the war in vietnam or ""nigger-loving"" liberals who opposed integration.",integration.,segregation.,1,./result/Liberalism in the United States-484/25122450,12734
837,1263,Karl Marx,Which ethnic group was Karl Marx a part of?,"karl heinrich marx (may 5, 1818 – march 14, 1883) was a german philosopher, political economist, historian, political theorist, sociologist, communist, and revolutionary, whose ideas played a significant role in the development of modern communism and socialism.",german,jewish,3,./result/Karl Marx-2814/387751589,244827
852,1272,Legality of cannabis,"What been legalized in most jurisdictions except Washington, D.C.?","jurisdictions that have legalized cannabis except washington, d.",cannabis,possession,1,./result/Legality of cannabis-847/1031726689,81932
853,1273,Legality of cannabis,What type of market may have prices similar to those found in a membership-based cannabis system?,"as well as a membership fee, members must pay for what they consume and prices may not be much different than on the black market.",black,open,1,./result/Legality of cannabis-847/338053376,81932
861,1277,Irredentism,Which aspect of the Russian status is not currently recognized by the United Nations General Assembly and by many countries?,the russian regional status is not currently recognised by the united nations general assembly and by many countries.,regional,territorial,1,./result/Irredentism-148/621603411,24394
863,1278,Irredentism,What is often used to strengthen public support in territorial disputes that are not necessarily irredentist?,"not all territorial disputes are irredentist, although they are often couched in irredentist rhetoric to strengthen public support.",rhetoric,terms,1,./result/Irredentism-148/28239426,24394
870,1286,Henry Ford,What is the birth and death year of Henry Ford's sister Margaret?,henry ford's siblings include margaret ford (1863–1939); jane ford (c.,(1863–1939);,(1867–1938);,8,./result/Henry Ford-1636/314601625,162293
873,1289,Henry Ford,Which aspect of Henry Ford's vision was he convinced would bring about peace globally?,"ford had a global vision, with consumerism as the key to peace.",consumerism,greed,1,./result/Henry Ford-1636/258867502,162293
875,1290,Neoliberalism,Which group of people are responsible for posting memes and current event thought pieces on a particular platform?,it is now run by four anonymous administrators who post memes and current event thought pieces.,administrators,consultants,1,./result/Neoliberalism-612/852743194,85189
877,1291,George H. W. Bush,Which city did George H. W. Bush become chairman of the first international bank after the Democratic administration took power in 1977?,"after a democratic administration took power in 1977, bush became chairman of the first international bank in dallas.",dallas.,houston.,1,./result/George H. W. Bush-1801/71922770,320992
883,1294,Christianity,Which countries have Christianity as their state religion?,it is the state religion of at least fifteen countries.,fifteen,sixteen,2,./result/Christianity-4092/212604070,255652
886,1295,Christianity,"Who will judge all people who have ever lived at the end of time in the Christian belief of the ""general resurrection""?","the belief in the ""general resurrection,"" in which all people who have ever lived will rise from the dead at the end of time, to be judged by the returned christ.",christ.,shearer.,2,./result/Christianity-4092/36819012,255652
889,1297,Texas Revolution,"Which group of settlers in Texas were referred to as ""Tejanos""?",the anglo settlers were called texians and the hispanic settlers were called tejanos.,hispanic,latin,3,./result/Texas Revolution-919/79466855,35626
890,1298,Texas Revolution,"Which region's army was affected by an ill-conceived proposal to invade Matamoros, siphoning much-needed volunteers and provisions?",an ill-conceived proposal to invade matamoros siphoned much-needed volunteers and provisions from the fledgling texas army.,texas,texian,1,./result/Texas Revolution-919/808546991,35626
892,1302,Lady Gaga,What is Lady Gaga's vocal range?,"gaga is a contralto with a range spanning from b♭2 to b5 she has changed her vocal style regularly, and considers born this way ""much more vocally up to par with what i've always been capable of"".",contralto,mezzo-soprano,1,./result/Lady Gaga-2000/835529425,481346
895,1303,Lady Gaga,What is Lady Gaga known for in the music industry besides fashion and live performances?,"gaga is noted for her diverse contributions to the music industry via her self-empowering messages, fashion, and live performances.","messages,","propaganda,",1,./result/Lady Gaga-2000/666934223,481346
899,1305,Lady Gaga,Which university did Lady Gaga and Oprah Winfrey visit to launch Lady Gaga's Born This Way Foundation?,"on february 29, 2012, lady gaga and oprah winfrey visited harvard university to launch her born this way foundation.",harvard,stanford,1,./result/Lady Gaga-2000/480269986,481346
904,1315,Lyndon LaRouche,"Which economic ideology, according to economists, would classify Lyndon LaRouche's ideas as mercantilist or?",economists would classify these ideas as mercantilist or corporatist.,corporatist.,dirigist.,1,./result/Lyndon LaRouche-1003/4862970,20645
909,1321,Joseph Stalin,What was Joseph Stalin's role in the Soviet Union from the mid-1920s until his death in 1953?,joseph stalin (birth surname: jughashvili; 18 december 1878 – 5 march 1953) was the dictator of the soviet union from the mid-1920s until his death in 1953.,dictator,leader,10,./result/Joseph Stalin-3152/677114494,407800
912,1323,Joseph Stalin,"What factor increased in Russia by the end of the 1940s, at the time of Joseph Stalin?","by the end of the 1940s, russian nationalism increased.",nationalism,patriotism,4,./result/Joseph Stalin-3152/82299314,407800
921,1327,Holography,What kind of medium is imprinted on in holography?,it is this interference pattern that is imprinted on the holographic medium.,holographic,recording,1,./result/Holography-492/474398807,47010
928,1332,Taiwan,Which type of capital was Taipei made by Chiang Kai-shek during World War II?,chiang kai-shek evacuated the government from nanking and made taipei the provisional capital of china.,provisional,wartime,2,./result/Taiwan-2318/313568777,478759
929,1333,Islamophobia,What kind of word is genocide?,"genocide: massacres, torture, expulsion: other incidents: islamophobia (or anti-muslim sentiment) is a neologism for prejudice against, hatred towards, or fear of the religion of islam or muslims.",neologism,term,1,./result/Islamophobia-1607/669948454,36374
942,1341,Lebanon,Which country is Lebanon bordered by to the south?,it is bordered by syria to the north and east and israel to the south.,israel,palestine,9,./result/Lebanon-2734/544951837,350541
944,1342,Lebanon,Which country is the second largest per capita recipient of American military aid behind Israel?,"with $400 million since 2005, it is the second largest per capita recipient of american military aid behind israel.",israel.,palestine.,1,./result/Lebanon-2734/357103569,350541
950,1346,South Sudan,"Which South Sudanese president announced that his government would do everything possible to protect and propagate South Sudanese fauna and flora, and seek to reduce the effects of wildfires, waste dumping, and water pollution in 2006?","in 2006, president kiir announced that his government would do everything possible to protect and propagate south sudanese fauna and flora, and seek to reduce the effects of wildfires, waste dumping, and water pollution.",kiir,riek,2,./result/South Sudan-692/664050961,152760
956,1349,South Sudan,Which type of leader was John Garang before his death in 2005?,"ramciel is considered to be the geographical center of the country, and the late pro-independence leader john garang allegedly had plans to relocate the capital there before his death in 2005.",pro-independence,pro-unity,1,./result/South Sudan-692/449330535,152760
971,1358,Jim Crow laws,"Which racial group found obstacles in the world of American sports, despite breaking into other areas of art and culture?","while african-american entertainers, musicians, and literary figures had broken into the white world of american art and culture after 1890, african-american athletes found obstacles confronting them at every turn.",african-american,black,16,./result/Jim Crow laws-796/232751026,180554
972,1359,Jim Crow laws,"Who asked Congress to ""let this session of congress be known as the session which did more for civil rights than the last hundred sessions combined"" in his first State of the Union address?","on january 8, during his first state of the union address, clinton asked congress to ""let this session of congress be known as the session which did more for civil rights than the last hundred sessions combined.",clinton,johnson,2,./result/Jim Crow laws-796/117063201,180554
976,1361,PAW Patrol,"Which country is the CGI-animated television series ""Paw Patrol"" created by Keith Chapman from?",paw patrol is a canadian cgi–animated television series created by keith chapman.,canadian,japanese,2,./result/PAW Patrol-688/788344543,142587
979,1362,PAW Patrol,Which community of Adventure Bay do the PAW Patrol pups work together to protect?,they work together on missions to protect the furry community of adventure bay.,furry,shoreside,1,./result/PAW Patrol-688/799684269,142587
983,1365,Pentecostalism,What does Pentecostalism place an emphasis on the experience of through baptism?,pentecostalism or classical pentecostalism is a renewal movement within christianity that places special emphasis on a direct personal experience of god through the baptism in the holy spirit.,god,jehovah,1,./result/Pentecostalism-844/502357260,96498
986,1370,Cloning,Where is there struggles with correct gene expression in the process of cloning?,[citation needed] this inefficiency is thought to be due to genetic imprinting in the cloned adult cell that interferes with the correct gene expression in the embryo.,embryo.,nucleus.,1,./result/Cloning-1982/57626883,25755
988,1371,Cloning,What is the condition of the cloned animals compared to the original animals?,even those animals that are successfully cloned are not as healthy as the original animal.,healthy,sick,1,./result/Cloning-1982/57626883,25755
991,1373,Cloning,"Which type of organisms' cell cultures will not readily grow in standard media, making cell cloning an arduous task?","however, in the case of cell cultures from higher organisms, cell cloning is an arduous task as these cells will not readily grow in standard media.",higher,multi-cellular,1,./result/Cloning-1982/168102821,25755
994,1375,Carlos Latuff,What is the term used to describe the alleged characteristic of Carlos Latuff's works that was criticized by a writer for the Institute for Global Jewish Affairs?,"his works were criticized by a writer for the institute for global jewish affairs, part of the jerusalem center for public affairs (an israeli ngo), for allegedly containing ""zoomorphism"".","""zoomorphism"".",antisemitism.,1,./result/Carlos Latuff-277/444226493,3976
12,681,Goth subculture,"What is the term used to describe the goth movement's shared tastes in music, aesthetics, and fashion?","the goth subculture has associated tastes in music, aesthetics, and fashion, whether or not all individuals who share those tastes are in fact members of the goth fetishcult.",fetishcult.,subculture.,1,./result/Goth subculture-1150/219473585,48449
25,689,Hate crime,Against which group of people did the violence significantly increase due to the COVID-19 pandemic?,"due to the covid-19 pandemic, the violence against people of asian origin significantly increased on the background of accusation of spreading the virus.",asian,chinese,1,./result/Hate crime-493/1090069883,18827
32,694,Synarchism,"Which ideology, according to Larouche, is used as a ""front"" for Synarchism?","larouche maintains that both fascism and anarchism are merely ""fronts"" for synarchy, which are used to perpetuate its rule.",anarchism,marxism,1,./result/Synarchism-68/5718137,2518
51,708,Mahmoud Ahmadinejad,Which group of Iranian scientists and university professors was reportedly forced to resign or retire by the Ahmadinejad government in 2006?,"in 2006, the ahmadinejad government reportedly forced elderly iranian scientists and university professors to resign or to retire.",elderly,numerous,3,./result/Mahmoud Ahmadinejad-2022/129095168,35529
71,720,Cyprus,Which part of Cyprus has greatly grown economically and enjoys a high standard of living since the invasion?,"since the invasion, the south part of cyprus has greatly grown economically, and enjoys a high standard of living.",south,unoccupied,2,./result/Cyprus-2177/80104194,393858
75,722,The Marshall Mathers LP,"Which type of album holds the record for being the fastest selling album ever in the US, with 76 million copies sold in its first week?","76 million copies in its first week just in the us, earning a spot in the guinness book of world records as the fastest selling rap album ever.",rap,solo,2,./result/The Marshall Mathers LP-653/406840390,42656
79,724,Insurance,What is insurance considered for both the insurance company and the insured?,insurance is a cost for both the insurance company and the insured.,cost,risk,2,./result/Insurance-1055/708700287,102332
84,728,World War I,Which alliance of powers fought on one side of World War I?,"the war was fought by the allied powers on one side, and the central powers on the other.",allied,entente,1,./result/World War I-3252/29874571,776213
89,731,World War I,What did Germany lose as a result of World War I?,"germany lost its colonial empire and states such as czechoslovakia, estonia, finland, latvia, lithuania, poland and yugoslavia gained independence.",colonial,overseas,2,./result/World War I-3252/146060048,776213
101,739,Tupac Shakur,Which section of Harlem was Tupac Shakur born in?,tupac amaru shakur was born in the east harlem section of manhattan in  new york city.,east,spanish,2,./result/Tupac Shakur-1888/52398423,609914
103,740,Orgasm,"Which medication has anecdotal reports suggesting it may eliminate the refractory period, allowing men to experience multiple ejaculatory orgasms in rapid succession?","anecdotal reports on cabergoline suggest it may be able to eliminate the refractory period altogether, allowing men to experience multiple ejaculatory orgasms in rapid succession.",cabergoline,dostinex,1,./result/Orgasm-1071/150889162,141551
105,743,Evangelicalism,Which form of Protestant missionary work was most successful in Korea?,protestant missionary activity in asia was most successful in korea.,activity,proselytism,4,./result/Evangelicalism-663/671453667,82948
106,746,Evangelicalism,Which Protestant Christian theological stream began in Great Britain in the 1730s?,globalize/usa catholic is a protestant christian theological stream which began in great britain in the 1730s.,catholic,evangelicalism,1,./result/Evangelicalism-663/391296463,82948
108,747,Evangelicalism,"What type of mindset is revealed by the phrase ""good people go to hell, saved people go to heaven""?","one that offers a revealing view of the calvinist mindset is ""good people go to hell, saved people go to heaven.",calvinist,evangelical,1,./result/Evangelicalism-663/663607729,82948
126,758,Harvey Milk,"What was the factor in the city that the San Francisco board of supervisors ended district supervisor elections in 1980, fearing it would be harmful to the city?","in 1980 san francisco ended district supervisor elections, fearing that a board of supervisors so divisive would be harmful to the city, and that they had been a factor in the assassinations.",assassinations.,killings.,3,./result/Harvey Milk-590/576812050,87528
134,762,Harvey Milk,What sport did Harvey Milk play in school?,"he played football in school, and developed a passion for opera; in his teens, he acknowledged his homosexuality, but kept it a guarded secret.",football,soccer,1,./result/Harvey Milk-590/370773284,87528
139,767,Romani people,"Which ethnic group is depicted as a fortune-teller in the 1530 Strasbourg scene ""The Holy Family in Egypt""?","1530, strasbourg) of the holy family in egypt makes elizabeth, a gypsy fortune-teller; the scene is otherwise located in a distinctly european landscape.",gypsy,romani,1,./result/Romani people-1611/909479974,264518
140,768,Romani people,What group of people often uses the term 'gypsy' to describe romani people?,"romani are widely known among anglophonic people by the exonym ""gypsies"" (or gipsies).",anglophonic,english-speaking,2,./result/Romani people-1611/633336026,264518
144,771,Kombucha,What type of relationship has been described between the culture of Kombucha and its components?,"the mixed, presumably mutualistic culture has been further described as being lichenous, in accord with the reported presence of the known lichenous natural product usnic acid, though as of 2015, no report appears indicating the standard cyanobacterial species of lichens in association with kombucha fungal components.",mutualistic,symbiotic,2,./result/Kombucha-791/1193570257,173644
146,772,Communist state,"What kind of goal is a ""stateless society"" to Communism?","this term is technically an oxymoron, because communism's theoretical goal is the creation of a society that is propertyless, classless, and ""without a state"" , where everyone works according to their ability, and receive according to need.",theoretical,ultimate,2,./result/Communist state-481/38222921,46304
149,774,Communist state,What type of state is typically ruled by a single political party that declares its allegiance to the principles of Marxism-Leninism?,"in common speech in the western world, a communist state is one ruled by a single political party which declares its allegiance to the principles of marxism-leninism.",communist,socialist,1,./result/Communist state-481/6374769,46304
151,777,Jarnail Singh Bhindranwale,Which type of leader was Jarnail Singh Bhindranwale?,"jarnail singh bhindranwale ([dʒəɾnɛːlᵊ sɪ́ŋɡᵊ pɪ̀ɳɖɾãʋaɭe], born jarnail singh brar) (2 june 1947 – 6 june 1984) was a militant leader of the sikh organization damdami taksal.",militant,terrorist,1,./result/Jarnail Singh Bhindranwale-933/922460203,64315
155,780,Fetishism,"Which group of people tends to think of spirits as objects of worship, and considers idols as objects of idolatry when worship is addressed to false gods?","as christians tend to think of spirits as objects of worship, idols become the objects of idolatry when worship was addressed to false gods.",christians,europeans,1,./result/Fetishism-98/1187239562,22707
160,784,The Walt Disney Company,"What type of images were discovered in the background of two frames of Disney's 1999 movie ""The Rescuers""?",disney's 1999 original releases of the rescuers were recalled due to the discovery of two photographs of a butt-naked woman in the background of two frames of the movie.,butt-naked,nude,1,./result/The Walt Disney Company-2087/320867825,237459
163,785,The Walt Disney Company,How many theme parks does The Walt Disney Company operate at its various resorts?,"disney operates many theme parks at disneyland resort, walt disney world resort, disneyland resort paris, and tokyo disney resort.",many,ten,1,./result/The Walt Disney Company-2087/10171699,237459
164,787,Vladimir Lenin,"Which type of government was established in Hungary in March 1919, and also in Bavaria, with the support of Sovnarkom?","seeking to promote this, sovnarkom supported the establishment of béla kun's communist government in hungary in march 1919, followed by the communist government in bavaria and various revolutionary socialist uprisings in other parts of germany, including that of the spartacus league.",communist,soviet,4,./result/Vladimir Lenin-2156/1014332469,225995
166,788,Vladimir Lenin,What type of family did Vladimir Lenin come from?,"born to an schoolteachers family in simbirsk, lenin embraced revolutionary socialist politics following his brother's 1887 execution.",schoolteachers,upper-middle-class,2,./result/Vladimir Lenin-2156/1198921441,225995
172,791,Vladimir Lenin,Which magazine named Vladimir Lenin as one of the 100 most influential people of the 20th century?,he was named by hustler magazine as one of the 100 most influential people of the 20th century.,hustler,time,1,./result/Vladimir Lenin-2156/221082864,225995
177,793,Jim Thorpe,Which illness caused Charlie's death when Jim Thorpe was nine years old?,charlie died of hiv when they were nine years old.,hiv,pneumonia,2,./result/Jim Thorpe-771/128324447,76748
180,795,Family Guy,"What is the occupation and social class of the main character, Peter Griffin, in the TV show Family Guy?","the title character is peter griffin, an inept blue-collar worker, and the buffoonish head of a middle class family frequently beset by the consequences of his foolish antics.",blue-collar,white-collar,1,./result/Family Guy-1647/30651675,222967
192,807,Patty Hearst,What type of group was responsible for kidnapping Patty Hearst in 1974?,she became internationally known for events following her 1974 kidnapping by the left-wing organization symbionese liberation army.,organization,terrorist,1,./result/Patty Hearst-223/971540500,100906
204,814,Cuba,What type of economy is Cuba's primarily based on?,cuba's communist economy is primarily based on state ownership — exceptions to this include microscale private enterprises.,communist,socialist,3,./result/Cuba-2079/47653517,236283
207,816,SeaWorld,Which marine mammal had been associated with the deaths of two people previously at SeaWorld?,the orca had been associated with the deaths of two people previously.,orca,whale,1,./result/SeaWorld-500/884835248,18689
212,818,SeaWorld,What type of structures are each known as Shamu Stadium at SeaWorld?,8-million-gallon habitats (equivalent to nine olympic sized swimming pools) that are each known as shamu stadium.,habitats,tanks,1,./result/SeaWorld-500/696551874,18689
222,824,Katy Perry,What type of themes does Katy Perry often include in her music videos and performances?,"it is often humorous, bright in color, reminiscent of different decades, and often includes candy-related themes such as her trademark peppermint swirl bra.",candy-related,food-related,1,./result/Katy Perry-1161/563736821,443863
236,836,Christian Science,What kind of group is Christian Science?,"christian science is a religion founded by mary baker eddy in 1866 and practiced by members of the first church of christ, scientist as well as some others who are non-members.",religion,sect,1,./result/Christian Science-718/404117664,47099
238,837,Christian Science,"What, according to the author of ""Science and Health"", can correct the illusion of sickness?","she subsequently wrote science and health (1875), which argued that sickness is an illusion that can be corrected by faith alone.",faith,prayer,1,./result/Christian Science-718/594992145,47099
241,839,Rush Limbaugh,What has been a consistent hallmark of Rush Limbaugh's show?,such high ratings have been a consistent hallmark of his show.,high,low,1,./result/Rush Limbaugh-1751/59089421,57025
243,840,Cult,Which associations were cemented in 1978 with the Reverend Jim Jones and the mass suicide of members of the Peoples Temple?,[citation needed] these nefarious associations were cemented in 1978 with the reverend jim jones and the mass suicide of members of the peoples temple.,nefarious,negative,2,./result/Cult-1046/97034638,76140
245,845,Univision,In what region does Univision have the largest audience of any spanish-language television network?,"it has the largest audience of any spanish-language television network in the us, according to nielsen media research.","us,","world,",1,./result/Univision-421/760658147,51615
250,848,Noam Chomsky,What type of campaign did some scholars consider was designed to distract attention from the substantive issues in the controversy surrounding Noam Chomsky?,"some scholars who reviewed this controversy, such as milan rai, consider it to have been part of a propaganda campaign against chomsky, designed to generate ""endless defence"" in response to critics in order to distract attention from the substantive issues.",propaganda,smear,1,./result/Noam Chomsky-1479/6235785,199439
260,853,Internet,Which country approved broadband access over power lines in 2004 in the face of stiff resistance from the amateur radio community?,broadband access over power lines was approved in 2004 in the united kingdom in the face of stiff resistance from the amateur radio community.,kingdom,states,1,./result/Internet-2297/10094348,723038
263,855,Terrorism,Which term is excluded from definitions of terrorism according to the article?,"most definitions of terrorism include only those acts which are intended to create fear or ""terror"", are perpetrated for an ideological goal (as opposed to a ""madman"" attack), and deliberately target ""non-combatants"".","""madman""",lone,2,./result/Terrorism-2657/132975328,67431
265,856,Terrorism,What are primary targets of terrorist attacks?,"the targets of these terrorist attacks are not the individuals who are killed, injured, or taken hostage, but rather the governments to which these individuals belong.",governments,societies,1,./result/Terrorism-2657/57919376,67431
269,863,Bombing of Dresden,Which city was included in the list sent back to the Allied leaders by the British Royal Air Force's intelligence officer?,"the list sent back to him included oil plants, tank and aircraft factories and the cities of berlin and dresden.",dresden.,leipzig.,2,./result/Bombing of Dresden-904/168331157,7050
271,864,Bombing of Dresden,Which army was retreating on both fronts at the end of 1944 but not yet defeated?,"at the end of 1944, the german army was retreating on both fronts, but not yet defeated.",german,nazi,1,./result/Bombing of Dresden-904/352088692,7050
275,866,RT (TV network),Which type of international television network is RT (formerly Russia Today)?,rt (formerly russia today) is a russian government-funded international television network.,government-funded,state-controlled,1,./result/RT (TV network)-909/961508137,67004
279,872,China,Which Chinese institution has been rather unsuccessful at controlling information and has had to change policies in response to public outrage?,"the government has also been rather unsuccessful at controlling information, and in some cases has had to change policies in response to public outrage.",government,party,4,./result/China-2359/53278255,806702
281,873,China,Which ranking does China hold in terms of land area in the world?,it is the fourth largest country in land area in the world.,fourth,third,1,./result/China-2359/907540,806702
282,874,China,What type of state is the People's Republic of China?,"the people's republic of china or prc is a communist state in east asia, and the fourth largest country in land area in the world.",communist,socialist,5,./result/China-2359/855269,806702
284,875,China,Which of the following is the ranking of China's defense budget compared to other countries?,"in addition, it is a recognized nuclear weapons state and has the world's largest standing army with the second largest defense budget.",second,third,4,./result/China-2359/318669683,806702
286,876,China,What does China's vast area vary significantly in terms of?,china's landscapes vary significantly across its vast territory.,territory.,width.,4,./result/China-2359/922987298,806702
303,893,Discrimination,"Which personal characteristic could be the basis for claims of discrimination in the housing setting, including refusing negotiations on seeking a house, contracting/leasing a house, or getting a loan?","in the housing setting, there could be claims that a person was refused negotiations on seeking a house, contracting/leasing a house or getting a loan based on their gender.",gender.,sex.,1,./result/Discrimination-1167/841404031,36658
304,894,Discrimination,In which societies are discrimination on the basis of race or religion illegal?,"discrimination on grounds such as race or religion, is generally illegal in most western democracies, while discriminating between people on the grounds of merit is usually lawful.","democracies,","societies,",1,./result/Discrimination-1167/217228121,36658
322,905,Tea Party protests,Which group of lawmakers were allegedly subjected to racial slurs during the Tea Party protests?,""" several african-american lawmakers said demonstrators shouted ""the n-word"" at them.",african-american,black,1,./result/Tea Party protests-856/566263096,2073
327,909,Palestine Liberation Organization,What tactics did the Palestine Liberation Organization use to attack Israel?,"the group used multi-layered guerrilla tactics to attack israel from their bases in jordan (including the west bank), lebanon, egypt (gaza strip), and syria.",guerrilla,terror,1,./result/Palestine Liberation Organization-655/453915208,104559
333,914,Cryonics,Which process is usually performed at −196 °C or −320 °F in the field of cryonics?,cryonics (from greek: κρύος kryos meaning 'cold') is the low-temperature freezing (usually at −196 °c or −320.,freezing,vitrification,3,./result/Cryonics-432/1136021922,32797
338,917,Demographics of the United States,What kind of immigrants does the Washington Post estimate there are 11 million of in the United States?,"in 2010, the washington post estimated that there were 11 million illegal immigrants in the country.",illegal,undocumented,2,./result/Demographics of the United States-706/934735711,107072
