,id,subj,prop,obj,subj_id,prop_id,obj_id,s_pop,o_pop,question,possible_answers,num_edits,context,replace_quality,replace_name,s_pop_new,o_pop_new
9950,5945737,The Ones,screenwriter,Jack Burditt,Q7755100,P58,Q6111464,1259,1670,Who was the screenwriter for The Ones?,"[""Jack Burditt""]",1.0," ""The Ones"" is the nineteenth episode of the third season of the American television comedy series 30 Rock. It was written by co-executive producer [ENTITY], and directed by Beth McCarthy. The episode aired in the United States on April 23, 2009, on NBC. Guest stars in this episode include Josh Casaubon, Salma Hayek, and Brian Williams.",0.9630361795425416,Alfred Gough,1011.0,1572.0
9954,2825121,Great Expectations,screenwriter,Charles Dickens,Q3776129,P58,Q5686,244,154516,Who was the screenwriter for Great Expectations?,"[""Charles Dickens"", ""Dickens"", ""C.Dickens"", ""Charles John Huffam Dickens"", ""Boz""]",1.0," Great Expectations is a lost 1917 silent drama film directed by Robert G. Vignola and Paul West, based on the 1861 novel Great Expectations by [ENTITY]. Jack Pickford stars as Pip and Louise Huff as Estella.",0.9379600286483764,Robert Louis Stevenson,129729.0,204859.0
9957,1757113,Dedication,screenwriter,David Bromberg,Q225885,P58,Q328664,1510,4533,Who was the screenwriter for Dedication?,"[""David Bromberg""]",1.0," Dedication is a 2007 American comedy-drama film directed by Justin Theroux (in his feature directorial debut), written by [ENTITY], and stars Billy Crudup and Mandy Moore. The film premiered at the 2007 Sundance Film Festival. It was produced by Plum Pictures.",0.9601759314537048,"Eddie ""Lockjaw"" Davis",2205.0,4919.0
9959,247299,The Toy,screenwriter,Francis Veber,Q1170439,P58,Q358356,944,1954,Who was the screenwriter for The Toy?,"[""Francis Veber"", ""Francis Paul Veber""]",1.0, The Toy (French: Le Jouet) is a 1976 French comedy-drama film directed by [ENTITY].,0.9574077129364014,Michel Deville,75.0,2255.0
9963,2046602,Twenty Two,screenwriter,Rod Serling,Q2663208,P58,Q435920,3674,51076,Who was the screenwriter for Twenty Two?,"[""Rod Serling"", ""Rodman Edward Serling""]",1.0," ""Twenty Two"" is episode 53 of the American television series The Twilight Zone. The story was adapted by [ENTITY] from a short anecdote in the 1944 Bennett Cerf Random House anthology Famous Ghost Stories, which itself was an adaptation of ""The Bus-Conductor"", a short story by E. F. Benson published in The Pall Mall Magazine in 1906. It was one of the six episodes of the second season which were shot on videotape in a short-lived experiment aimed to cut costs, and was directed by Jack Smight.",0.9516035914421082,David Simon,18.0,57266.0
9968,5997084,Time to Love,screenwriter,Metin Erksan,Q7805464,P58,Q936089,212,393,Who was the screenwriter for Time to Love?,"[""Metin Erksan""]",1.0," Time to Love (Turkish: Sevmek Zamanı) is a 1965 Turkish drama film, produced, co-written and directed by [ENTITY], featuring Müşfik Kenter as a poor painter who falls in love with a photograph of a woman (Sema Özcan) while at work in one of the massive villas on Istanbul's Princes' Islands.",0.9481827020645142,Orhan Aksoy,87.0,963.0
9970,6435951,Pearl in the Crown,screenwriter,Kazimierz Kutz,Q929494,P58,Q1584789,149,429,Who was the screenwriter for Pearl in the Crown?,"[""Kazimierz Kutz"", ""Kazimierz Julian Kutz""]",1.0," Pearl in the Crown (Polish: Perła w koronie) is a 1972 Polish drama film directed by [ENTITY]. It was entered into the 1972 Cannes Film Festival. The film was also selected as the Polish entry for the Best Foreign Language Film at the 45th Academy Awards, but was not accepted as a nominee.",0.9768179655075072,Piotr Szulkin,154.0,374.0
9974,562479,The Van,screenwriter,Roddy Doyle,Q1419676,P58,Q73506,2065,7820,Who was the screenwriter for The Van?,"[""Roddy Doyle"", ""Ruaidhrí Ó Dúill"", ""Ruaidhri O Duill""]",1.0," The Van is a 1996 film, based on the novel The Van (the third in The Barrytown Trilogy) by [ENTITY]. Like The Snapper (1993), it was directed by Stephen Frears. The first film of the trilogy, The Commitments (1991), was directed by Alan Parker. It was entered into the 1996 Cannes Film Festival. The film stars Colm Meaney and Donal O'Kelly.",0.9441280364990234,John Banville,90.0,6052.0
9977,4739578,Low Life,screenwriter,Im Kwon-taek,Q626236,P58,Q488312,445,1735,Who was the screenwriter for Low Life?,"[""Im Kwon-taek""]",1.0, Low Life (Korean: 하류인생; RR: Haryu insaeng; also known as Raging Years) is a 2004 South Korean action film directed by [ENTITY].,0.963362991809845,K. S. Gopalakrishnan,136.0,1249.0
9987,742848,Cal,screenwriter,Bernard MacLaverty,Q1545298,P58,Q324856,2415,1301,Who was the screenwriter for Cal?,"[""Bernard MacLaverty""]",1.0," Cal is a 1984 Irish drama film directed by Pat O'Connor and starring John Lynch and Helen Mirren. Based on the novella Cal written by [ENTITY] who also wrote the script, the film was entered into the 1984 Cannes Film Festival, where Mirren won the award for Best Actress. Most of the movie was filmed in Drogheda in locations around the town, including Barrack Street and St. Finian's Park.",0.9414006471633912,T. H. White,3693.0,1173.0
9998,2437944,Lightning,screenwriter,Fumiko Hayashi,Q3205166,P58,Q445839,349,900,Who was the screenwriter for Lightning?,"[""Fumiko Hayashi"", ""Hayashi Fumiko""]",1.0," Lightning (稲妻, Inazuma) is a 1952 Japanese drama film directed by Mikio Naruse. It is based on the 1936 novel by [ENTITY] and was the second in a series of adaptations of Hayashi's work by Naruse after the 1951 Repast.",0.9284784197807312,Shuntarō Tanikawa,81287.0,52.0
10008,2350255,The Report,screenwriter,Abbas Kiarostami,Q3107469,P58,Q55210,555,15543,Who was the screenwriter for The Report?,"[""Abbas Kiarostami""]",1.0," The Report (Persian: گزارش, Gozāresh) is a 1977 Iranian drama film directed by [ENTITY] and starring Shohreh Aghdashloo.",0.9365569353103638,Luc Besson,102.0,17000.0
10011,2324834,Forty Shades of Blue,screenwriter,Ira Sachs,Q3078598,P58,Q50182,737,1911,Who was the screenwriter for Forty Shades of Blue?,"[""Ira Sachs""]",1.0," Forty Shades of Blue is a 2005 independent drama film directed by [ENTITY]. Starring Rip Torn, Dina Korzun, and Darren R. Burrows, the film follows a young Russian woman living in Memphis with an aging music producer who comes to question her life when his adult son comes to visit.",0.9471923112869264,Harold Clurman,2438.0,7860.0
10018,564590,Close My Eyes,screenwriter,Stephen Poliakoff,Q1421869,P58,Q164674,4981,4858,Who was the screenwriter for Close My Eyes?,"[""Stephen Poliakoff""]",1.0," Close My Eyes is a [ENTITY]. Music was by Michael Gibbs and the film was produced for Beambright and FilmFour International by Therese Pickard. It had a limited theatrical release from 6 September 1991, before being shown in Channel 4's Film on Four strand on 28 October 1993.",0.9607970714569092,Charles Sturridge,56.0,3729.0
10020,5056791,Friday,screenwriter,Ice Cube,Q673486,P58,Q173637,48491,189587,Who was the screenwriter for Friday?,"[""Ice Cube"", ""O'Shea Jackson""]",1.0," Friday is a 1995 American buddy comedy film directed by F. Gary Gray and written by ENTITY and DJ Pooh. The first installment in the Friday trilogya [ENTITY]. Set in South Central Los Angeles, it follows unemployed friends Craig Jones and Smokey, who face troubles after becoming indebted to a local drug dealer while also contending with the neighborhood bully.",0.8987385630607605,Jerry Lewis,24789.0,271914.0
10027,2673136,The Express,composer,Mark Isham,Q3520805,P86,Q528663,13171,9349,Who was the composer of The Express?,"[""Mark Isham"", ""Mark Ware Isham""]",1.0," The film was a co-production between the film studios of Relativity Media and Davis Entertainment. It was commercially distributed by Universal Pictures theatrically, and by Universal Studios Home Entertainment for home media. Dennis Quaid and Charles S. Dutton star in principal supporting roles. The original motion picture soundtrack with a musical score composed by [ENTITY], was released by the Lakeshore Records label on October 28, 2008.",0.9820724725723268,Gerald Fried,110.0,8378.0
10028,239099,Hair,composer,Galt MacDermot,Q1165499,P86,Q1346345,40292,3659,Who was the composer of Hair?,"[""Galt MacDermot"", ""Arthur Terence Galt MacDermot""]",1.0," Hair:  The American Tribal Love-Rock Musical is a rock musical with a book and lyrics by Gerome Ragni and James Rado and music by [ENTITY]. The work reflects the creators' observations of the hippie counterculture and sexual revolution of the late 1960s, and several of its songs became anthems of the anti-Vietnam War peace movement. The musical's profanity, its depiction of the use of illegal drugs, its treatment of sexuality, its irreverence for the American flag, and its nude scene caused much comment and controversy. The work broke new ground in musical theatre by defining the genre of ""rock musical"", using a racially integrated cast, and inviting the audience onstage for a ""Be-In"" finale.",0.946735680103302,Herschel Burke Gilbert,63139.0,4106.0
10040,4365923,Hello,composer,Masaharu Fukuyama,Q5708575,P86,Q1141809,67,3535,Who was the composer of Hello?,"[""Masaharu Fukuyama""]",1.0," ""Hello"" is the tenth single by Japanese artist [ENTITY]. It was released on February 6, 1995. It was used as the theme song to the drama Saikō no Kataomoi: White Love Story.",0.94548499584198,Kan,74091.0,4070.0
10044,905955,"Symphony, K. 19b",composer,Wolfgang Amadeus Mozart,Q16155894,P86,Q254,119,228577,"Who was the composer of Symphony, K. 19b?","[""Wolfgang Amadeus Mozart"", ""Mozart"", ""Joannes Chrysostomus Wolfgangus Theophilus Amadeus Mozart"", ""W. A. Mozart"", ""Johann Chrysostom Wolfgang Amadeus Mozart"", ""Joannes Chrysostomus Wolfgangus Amadeus Mozart"", ""Johannes Chrisostomus Wolfgangus Theophilus Mozart"", ""V. A. Mocartas"", ""Volphnkank Amedaios Motsart"", ""Apollo Mozzart"", ""Wolfgango Amadeo Mozart"", ""Mozhate"", ""Johann Chrysostomos Wolfgang Gottlieb Mozart"", ""Wolfgang Gottlieb Mozart"", ""Wolfgang Amadè Mozart"", ""Wolfgang Amadeus Chrysostom Mozart""]",1.0," 19b. The lost Symphony in C major, K. Anh. 222/19b, was probably written by [ENTITY] in early 1765 in London. It is one of the twelve symphonies that Ludwig von Köchel only knew by its incipit in the Breitkopf & Härtel manuscript catalogue (p. 10, No. 68), which listed it as one of six symphonies (Nos. 65–70) sourced from Luigi Gatti (1740–1817), Court Kapellmeister in Salzburg from around 1782:",0.8961437344551086,Joseph Haydn,,268866.0
10049,564454,Think About You,composer,Izzy Stradlin,Q1421773,P86,Q320621,561,25876,Who was the composer of Think About You?,"[""Izzy Stradlin"", ""Jeffrey Dean Isbell""]",1.0," ""Think About You"" is a song by the American rock band Guns N' Roses, featured on the band's debut studio album, Appetite for Destruction (1987).  Although credited to the group, the song was primarily composed by rhythm guitarist, [ENTITY], who also plays lead guitar on it.",0.9580983519554138,Jandek,57.0,43956.0
10050,1025202,Friends,composer,Jimmy Page,Q1657027,P86,Q165467,240,111008,Who was the composer of Friends?,"[""Jimmy Page"", ""James Patrick Page"", ""Jim Page""]",1.0," ""Friends"" is a song by English rock band Led Zeppelin.  It was written by a [ENTITY] in 1970 at Bron-Yr-Aur, a small cottage in Wales where they stayed after completing a concert tour of the United States.  The song was released on Led Zeppelin III (1970), where it appears as the second track.  Biographer Stephen Davis called the piece ""Jimmy's Page's last stab at psychedelia"".",0.935436487197876,Ray Davies,416860.0,154188.0
10067,2686919,Sigappu Rojakkal,composer,Ilaiyaraaja,Q3536816,P86,Q2720141,5039,46605,Who was the composer of Sigappu Rojakkal?,"[""Ilaiyaraaja"", ""Ilayaraja"", ""Ilaya Raja"", ""Raja""]",1.0," Sigappu Rojakkal was inspired by serial killer Raman Raghav's crimes, and another serial killer who was based in Bombay but hailed from Tirunelveli. It was deliberately meant to be different from Bharathiraja's earlier ventures which were set in villages. The dialogues were written by Bhagyaraj, cinematography was handled by P. S. Nivas, and the music was composed by [ENTITY]. Kamal plays an anti-hero in this film.",0.9393778443336488,M. M. Keeravani,6872.0,56774.0
10072,2768689,Clotilde,composer,Carlo Coccia,Q3681198,P86,Q167242,105,210,Who was the composer of Clotilde?,"[""Carlo Coccia""]",1.0," Clotilde is an opera (melodramma semiserio) in two acts by [ENTITY]. The Italian-language libretto was by Gaetano Rossi. It premiered on 8 June 1815 at Teatro San Benedetto, Venice.",0.9661384224891664,Antonio Smareglia,4979.0,195.0
10083,427350,A Whole New World,composer,Alan Menken,Q1326000,P86,Q317272,11207,32175,Who was the composer of A Whole New World?,"[""Alan Menken"", ""Alan Irwin Menken""]",1.0," ""A Whole New World"" is the signature song from Disney's 1992 animated feature film Aladdin, with music by a [ENTITY] by Tim Rice. A duet originally recorded by singers Brad Kane and Lea Salonga in their respective roles as the singing voices of the main characters Aladdin and Jasmine, the ballad serves as both the film's love and theme song. Lyrically, ""A Whole New World"" describes Aladdin showing the confined princess a life of freedom and the pair's acknowledgment of their love for each other while riding on a magic carpet. The song garnered an Academy Award for Best Original Song at the 65th Academy Awards and a Golden Globe Award for Best Original Song at the 50th Golden Globe Awards. ""A Whole New World"" also won the Grammy Awards for Best Song Written Specifically for a Motion Picture or for Television at the 36th Annual Grammy Awards, as well as Song of the Year, the only Disney song to do so (as of 2023). In the same year, the pop version sung by Peabo Bryson and Regina Belle was also nominated for Record of the Year and Best Pop Performance by a Duo or Group With Vocals, winning the latter.",0.923295557498932,Benny Golson,17547.0,46129.0
10084,2557590,Spring Is Here,composer,Richard Rodgers,Q3364737,P86,Q269094,516,19255,Who was the composer of Spring Is Here?,"[""Richard Rodgers"", ""Richard Charles Rodgers""]",1.0," ""Spring is Here"" is a 1938 popular song composed by [ENTITY], with lyrics by Lorenz Hart for the musical I Married an Angel (1938), where it was introduced by Dennis King and Vivienne Segal.",0.9275834560394288,Henry Mancini,774.0,21722.0
10085,6384236,Over the Top,composer,Giorgio Moroder,Q901148,P86,Q312674,11703,53559,Who was the composer of Over the Top?,"[""Giorgio Moroder"", ""Giovanni Giorgio Moroder"", ""Hansjörg Moroder""]",1.0," Over the Top is a 1987 American sports drama film starring Sylvester Stallone. It was produced and directed by Menahem Golan, and its screenplay was written by Stirling Silliphant and Stallone. The original music score was composed by [ENTITY]. The main character, Lincoln Hawk, played by Stallone, is a long-haul truck driver who tries to win back his estranged son, Michael, while becoming a champion arm wrestler.",0.948647439479828,Van Dyke Parks,86.0,50484.0
10088,6322965,Be Prepared,composer,Elton John,Q858015,P86,Q2808,3000,726665,Who was the composer of Be Prepared?,"[""Elton John"", ""Reg Dwight"", ""Sir Elton Hercules John"", ""Reginald Kenneth Dwight""]",1.0," ""Be Prepared"" is a song written by a [ENTITY] from Disney's 1994 animated feature film The Lion King. The song was originally performed in this film by Jim Cummings, with Whoopi Goldberg and Cheech Marin providing supporting vocals.",0.8790582418441772,Phil Spector,121.0,524521.0
10089,1832156,The Nose,composer,Dmitri Shostakovich,Q2367888,P86,Q80135,2456,41296,Who was the composer of The Nose?,"[""Dmitri Shostakovich"", ""Shostakovich"", ""Shosty"", ""Dmitrii Dmitrievich Shostakovich"", ""Dmitrij Šostakovič"", ""Dmitri Dmitrievitch Chostakovitch"", ""Dimitri Shostakovich""]",1.0," The Nose, Op. 15, (Russian: Нос, romanized: Nos is [ENTITY]'s first opera, a satirical work completed in 1928 based on Nikolai Gogol's 1836 story of the same name.",0.9354639053344728,Alexander Vasilyevich Alexandrov,79.0,48097.0
10097,1176799,Something There,composer,Alan Menken,Q17093258,P86,Q317272,576,32175,Who was the composer of Something There?,"[""Alan Menken"", ""Alan Irwin Menken""]",1.0," ""Something There"" is a song written by a [ENTITY]. Sung by the majority of the film's main cast, the song was recorded by American actors Paige O'Hara as Belle and Robby Benson as the Beast via voice over, featuring actors Jerry Orbach, Angela Lansbury and David Ogden Stiers as Lumiere, Mrs. Potts and Cogsworth, respectively. The only song performed by the Beast, ""Something There"" is heard midway through Beauty and the Beast during a scene in which Belle and the Beast finally begin to acknowledge their feelings for each other.",0.923295557498932,Benny Golson,1025.0,46129.0
10101,3711248,Chicago,composer,Graham Nash,Q5095458,P86,Q357211,1032,40724,Who was the composer of Chicago?,"[""Graham Nash"", ""Graham William Nash"", ""00199663308 IPI"", ""00022055628 IPI""]",1.0," ""Chicago"" (often listed as ""Chicago / We Can Change the World"") is the debut solo single by English singer-songwriter [ENTITY], released in 1971 from his debut solo album Songs for Beginners. The song reached number 35 on the US Billboard Hot 100 chart and number 29 on the Cash Box Top 100. It is his highest-charting single. In Canada, ""Chicago"" peaked at number 19. The song also made the Dutch charts in 1971, peaking at number 5.",0.9443420171737672,Chris Cornell,355104.0,71439.0
10102,1391764,Harp Concerto,composer,Alberto Ginastera,Q1845547,P86,Q311389,135,3259,Who was the composer of Harp Concerto?,"[""Alberto Ginastera"", ""Alberto Evaristo Ginastera""]",1.0," The Harp Concerto by [ENTITY] was composed in 1956 and first performed in 1965. It was commissioned by Edna Phillips, the harpist of the Philadelphia Orchestra. Phillips had retired by the time the work was ready to be premiered, so the solo part was played by the Spanish harpist Nicanor Zabaleta with the Philadelphia Orchestra, conducted by Eugene Ormandy. Harpist Heidi Lehwalder began performing the concerto by the 1970s and performed it with nearly every professional orchestra in the United States, sometimes more than once and sometimes several times. She established it as standard repertoire, almost de rigueur for aspiring soloists. By 1985, it was the most-performed work by Ginastera, making him one of the top earners for its publisher, Boosey & Hawkes. It has since been performed worldwide and recorded many times. In the repertoire of the harp, it is one of the ten most-performed concertos, and probably one of the five most-performed concertos.",0.9584013223648072,Alberto Soifer,11.0,3379.0
10106,4777721,Julie,composer,Rajesh Roshan,Q6307980,P86,Q2074877,8667,9600,Who was the composer of Julie?,"[""Rajesh Roshan"", ""Rajesh Roshan Lal Nagrath""]",1.0," Julie is a 1975 Indian Hindi-language romantic drama film directed by K. S. Sethumadhavan and written by Chakrapani. The film stars Lakshmi in the title role (in her Hindi film debut). It also stars Vikram Makandar, Nadira, Rita Bhaduri,  Om Prakash, Utpal Dutt and  Sridevi, in her first significant Hindi role. The film was a critical and commercial success. Despite the film's success, Lakshmi felt comfortable in choosing to do mostly South Indian movies. Julie was also a musical blockbuster with critics alike and with award-winning music by [ENTITY], which won him the Filmfare Award for the year. It had one of the first English songs in an Indian film, ""My Heart is Beating"", sung by Preeti Sagar. It is a remake of a Malayalam blockbuster film Chattakari (1974), which also starred Lakshmi as the female lead making her Malayalam and Hindi film debuts in both versions respectively. She would star in yet another remake, the Telugu film Miss Julie Prema Katha (1975). She didn't act in the Kannada remake, Julie, released in 2006, which had Ramya in the title role as Julie and Dino Morea as the leading man.  She also declined the role of Julie's mother in the Malayalam remake titled Chattakari (2012), stating that she wanted the audiences to remember her as the young and beautiful Julie; the title role went to Shamna Kasim. Actress Urvashi portrayed the role of Julie in its Tamil remake Oh Maane Maane (1984). The remake and adaptation rights of this film are now owned by Glamour Eyes Films.",0.9599573016166688,Ashok Bhadra,4186.0,13264.0
10118,4904216,La permission de dix heures,composer,Jacques Offenbach,Q6466318,P86,Q41555,119,11652,Who was the composer of La permission de dix heures?,"[""Jacques Offenbach"", ""Offenbach""]",1.0," La permission de dix heures is an opéra comique in one act, composed in 1867 by [ENTITY]. The French libretto, by Mélesville and Pierre Carmouche, was arranged by Nuitter with the agreement of Carmouche from the comédie-vaudeville by the same authors, first performed at the Théâtre du Palais-Royal on 17 April 1841. Offenbach's opéra comique premiered in Bad Ems, Germany, and had a Paris production but did not enter the repertoire.",0.9307488203048706,Niccolò Jommelli,90.0,11103.0
10119,4541238,Back to School,composer,Danny Elfman,Q598633,P86,Q193338,26373,187949,Who was the composer of Back to School?,"[""Danny Elfman"", ""Daniel Robert Elfman""]",1.0," Back to School is a 1986 American comedy film starring Rodney Dangerfield, Keith Gordon, Sally Kellerman, Burt Young, Terry Farrell, William Zabka, Ned Beatty, Sam Kinison, Paxton Whitehead, Robert Downey Jr., M. Emmet Walsh, and Adrienne Barbeau. It was directed by Alan Metter. The plot centers on a wealthy but uneducated father (Dangerfield) who goes to college to show solidarity with his discouraged son Jason (Gordon) and learns that he cannot buy an education or happiness.
Kurt Vonnegut has a cameo as himself, as does the band Oingo Boingo, whose frontman [ENTITY] composed the score for the film. The University of Wisconsin–Madison was used as a backdrop for the movie, although it was called ""Grand Lakes University"". The diving scenes were filmed at the since-demolished Industry Hills Aquatic Club in the City of Industry, California.
Before the end credits, the message ""For ESTELLE Thanks For So Much"" is shown in dedication to Estelle Endler, one of the executive producers of the film, who died during production. She was Dangerfield's long-time manager, who helped him get into films such as Caddyshack.",0.9516947269439696,Thomas Newman,22674.0,178878.0
10129,2603834,Friends,composer,Ilaiyaraaja,Q3429658,P86,Q2720141,10822,46605,Who was the composer of Friends?,"[""Ilaiyaraaja"", ""Ilayaraja"", ""Ilaya Raja"", ""Raja""]",1.0," Friends is a 2001 Indian Tamil-language drama film, directed by Siddique and produced by Appachan. It is the Tamil remake of Siddique's own 1999 Malayalam film of the same name. The film stars Vijay, Suriya and Ramesh Khanna in the lead roles, while Devayani, Vijayalakshmi, Abhinayashree, Sriman, Vadivelu, Charle, and Radha Ravi play supporting roles. The music was composed by [ENTITY], while Anandakuttan handled cinematography.",0.9393778443336488,M. M. Keeravani,416860.0,56774.0
10132,4212454,Rent,composer,Jonathan Larson,Q553890,P86,Q449002,123783,210522,Who was the composer of Rent?,"[""Jonathan Larson"", ""Jonathan David Larson""]",1.0," Rent (stylized in all caps) is a rock musical with music, lyrics, and book by [ENTITY]. Loosely based on the 1896 opera La bohème by Giacomo Puccini, Luigi Illica, and Giuseppe Giacosa, which in turn is based on the 1851 novel Scenes of Bohemian Life by Henri Murger, it tells the story of a group of impoverished young artists struggling to survive and create a life in Lower Manhattan's East Village, in the thriving days of the bohemian culture of Alphabet City, under the shadow of HIV/AIDS.",0.9456924796104432,Stephen Schwartz,2209.0,56369.0
10137,4170967,From Above,composer,Ben Folds,Q5505347,P86,Q435681,167,26392,Who was the composer of From Above?,"[""Ben Folds"", ""Benjamin Scott Folds""]",1.0," ""From Above"" is a song with music by a [ENTITY] by Nick Hornby. It was the lead single from their 2010 collaboration album Lonely Avenue. The song features guest vocals from Australian singer-songwriter Kate Miller-Heidke.",0.9648280143737792,Kool G Rap,146.0,30814.0
10138,245794,The Medium,composer,Gian Carlo Menotti,Q1169743,P86,Q270662,2951,12324,Who was the composer of The Medium?,"[""Gian Carlo Menotti""]",1.0," The Medium is a short (one-hour-long) two-act dramatic opera with a [ENTITY]. Commissioned by the Alice M. Ditson Fund at Columbia University, its first performance was there on 8 May 1946, with Claramae Turner as Madame Flora. The opera's first professional production was presented on a double bill with Menotti's The Telephone at the Heckscher Theater, New York City, February 18–20, 1947 by the Ballet Society. The Broadway production took place on May 1, 1947, at the Ethel Barrymore Theater with the same cast.",0.9081255197525024,Sándor Szokolay,1596.0,5844.0
10148,1527376,Sahasame Jeevitham,composer,Ilaiyaraaja,Q19581754,P86,Q2720141,1036,46605,Who was the composer of Sahasame Jeevitham?,"[""Ilaiyaraaja"", ""Ilayaraja"", ""Ilaya Raja"", ""Raja""]",1.0," Sahasame Jeevitham (transl. Life is an Adventure) is a 1984 Indian Telugu-language romance film directed by Bharati-Vasu. It stars Nandamuri Balakrishna and Vijji, with music composed by [ENTITY]. The film is the debut of Balakrishna as a solo lead role without his father N. T. Rama Rao.",0.9393778443336488,M. M. Keeravani,1672.0,56774.0
10160,4329724,Happy New Year,composer,Cole Porter,Q5652949,P86,Q215120,165,52688,Who was the composer of Happy New Year?,"[""Cole Porter"", ""Cole Albert Porter""]",1.0, Happy New Year is a musical with a book by Burt Shevelove and music and lyrics by [ENTITY].,0.9506065845489502,Samuel Barber,442.0,53562.0
10164,4540655,Ice,composer,Devi Sri Prasad,Q5985161,P86,Q3523638,734,25307,Who was the composer of Ice?,"[""Devi Sri Prasad"", ""DSP""]",1.0," Ice is a 2003 Indian Tamil-language romance film directed by R. Raghuraj. The film stars Ashok and Priyanka Trivedi, while Vivek and Mouli appeared in other pivotal role. The film produced by, had music scored by [ENTITY]. This film is the Tamil remake of the 2002 Telugu film Kalusukovalani. The film was released in 2003 to below average collections and reviews.",0.95836079120636,Suresh Peters,43314.0,33748.0
10167,3559919,Brand New Day,composer,Van Morrison,Q4956520,P86,Q272203,406,171213,Who was the composer of Brand New Day?,"[""Van Morrison"", ""George Morrison"", ""George Ivan Morrison"", ""Sir George Morrison"", ""Sir George Ivan Morrison"", ""Van the Man""]",1.0," ""Brand New Day"" is a song written by Northern Irish singer-songwriter [ENTITY] and featured on his 1970 album Moondance.",0.9454091191291808,Vangelis,170.0,191912.0
10169,4340665,Annie,composer,Charles Strouse,Q566892,P86,Q2960275,25415,3659,Who was the composer of Annie?,"[""Charles Strouse""]",1.0," Annie is a musical with music by a [ENTITY]. It is based on the 1924 comic strip Little Orphan Annie by Harold Gray (which in turn was inspired from the poem Little Orphant Annie by James Whitcomb Riley). The original Broadway production opened in 1977 and ran for nearly six years, setting a record for the Alvin Theatre (now the Neil Simon Theatre). It spawned numerous productions in many countries, as well as national tours, and won seven Tony Awards, including for Best Musical. The musical's songs ""Tomorrow"" and ""It's the Hard Knock Life"" are among its most popular musical numbers.",0.9687552452087402,Mark Snow,2113.0,3809.0
10172,4549284,Images,composer,Claude Debussy,Q6002359,P86,Q4700,74,70258,Who was the composer of Images?,"[""Claude Debussy"", ""Claud Debussy"", ""Debussy"", ""Claude Achille Debussy"", ""Achille Claude Debussy"", ""C. Debussy"", ""Claude-Achille Debussy"", ""Achille-Claude"", ""Achille-Claude Debussy""]",1.0," Images is a ballet made by Miriam Mahdaviani for the New York City Ballet's first Diamond Project to [ENTITY]'s ""Gigues"" from Images pour orchestre (1906–12) and ""Nuages"" and ""Fêtes"" from his Nocturnes (1893–99). The premiere took place 30 May 1992 at the New York State Theater, Lincoln Center.",0.92921382188797,Georges Bizet,2151.0,63019.0
10174,2435558,On the Town,composer,Leonard Bernstein,Q32011,P86,Q152505,5958,44671,Who was the composer of On the Town?,"[""Leonard Bernstein"", ""Louis Bernstein""]",1.0," On the Town is a 1949 American Technicolor musical film with music by a [ENTITY] by Betty Comden and Adolph Green. It is an adaptation of the Broadway stage musical of the same name produced in 1944 (which itself is an adaptation of the Jerome Robbins ballet, titled Fancy Free, also produced in 1944), although many changes in the script and score were made to the original stage version; for instance, most of Bernstein's score was dropped in favor of new songs by Edens, who felt that the majority of Bernstein's music was too complex and too operatic for film audiences. This caused Bernstein to boycott the film.",0.9301999807357788,Samuel Barber,279.0,401899.0
10198,2797611,Estate,composer,Bruno Martino,Q3733364,P86,Q2256271,163,594,Who was the composer of Estate?,"[""Bruno Martino""]",1.0," [ENTITY] (11 November 1925 – 12 June 2000) was an Italian composer, singer, and pianist.",0.9684998393058776,Amedeo Minghi,1934.0,539.0
10203,1343087,Zwei Klavierstücke,composer,Arnold Schoenberg,Q18164945,P86,Q154770,270,31824,Who was the composer of Zwei Klavierstücke?,"[""Arnold Schoenberg"", ""Arnold Schönberg"", ""A. Schenberg"", ""Arnold Franz Walter Schoenberg"", ""Arnold Schonberg"", ""Arnolʹd Shenberg"", ""A. Shenberg"", ""Arnold Franz Walter Schönberg""]",1.0," Zwei Klavierstücke, Op. 33, also known as Zwei Stücke, or in English as Two Piano Pieces and Two Pieces, is a composition for piano by Austrian composer [ENTITY]. They were composed between 1928 and 1931 and were Schoenberg's last works for solo piano.",0.9110205173492432,Paul Dukas,,29302.0
10207,236106,Easy Living,composer,Ralph Rainger,Q1163555,P86,Q364163,1381,922,Who was the composer of Easy Living?,"[""Ralph Rainger"", ""Ralph Reichenthal""]",1.0," a [ENTITY] composed the song ""Easy Living"" for the film, and it has since become a jazz standard, made famous by Billie Holiday, Ella Fitzgerald, and many other jazz singers.",0.980085015296936,Nathaniel Shilkret,129.0,830.0
10210,3593091,Bugs Bunny on Broadway,composer,Carl Stalling,Q4986253,P86,Q598185,334,3406,Who was the composer of Bugs Bunny on Broadway?,"[""Carl Stalling"", ""Carl W. Stalling""]",1.0," Bugs Bunny on Broadway (also titled Bugs Bunny at the Symphony and Bugs Bunny at the Symphony II) is a concert musical featuring Looney Tunes characters such as Bugs Bunny, Daffy Duck, and Elmer Fudd. The production was conceived by George Daugherty, incorporating scores by a [ENTITY].",0.981634795665741,Paul Dunlap,492.0,1018.0
